ingredient,phonetic,flavor,techniques,dishes,pairs_with,volume,tip,possible_substitute,nutritional_profile,Calories,season,botanical_relatives,protein,what_they_are,brands
BROCCOLI,,Flavor Affinities,"Techniques: Better served cooked than raw—but cook only until tender, and do not overcook: boil (3–5 minutes), deep-fry (e.g., tempura), pressure-cook (2–3 minutes, puree, roast, sauté, simmer (5–6 minutes), steam, stir-fry (2–3 minutes)","Dishes


Iacopi Farm Broccoli Soup with Cheddar and Chives

—Greens Restaurant (San Francisco)","almonds

avocado

basil, e.g., Italian or Thai

beans, e.g., black, cannellini, green, white

BELL PEPPERS, e.g., red, esp. roasted

bread crumbs

bulgur

butter and brown butter

capers

cashews

casseroles

cauliflower

cayenne

CHEESE, e.g., blue, feta, cheddar, goat, Gorgonzola, Gouda, mozzarella, PARMESAN, pecorino, Romano

chickpeas

CHILES, e.g., green, red; and chili pepper flakes

chives

cilantro

coconut and coconut milk

coriander

cream

crepes

crudités

curries and curry, e.g., paste, powder, spices

dill

eggs, e.g., custards, omelets, quiches

flax seeds

GARLIC

ginger

gomashio

gratins

greens, mesclun

“guacamole”

hazelnuts

“hummus”

leeks

LEMON, e.g., juice, zest

lime

marjoram

mayonnaise

miso, e.g., barley

mushrooms, e.g., oyster, shiitake

mustard, e.g., Dijon, and mustard seeds

noodles, e.g., Asian, rice, soba, udon

nuts, e.g., peanuts, pecans

OIL, e.g., OLIVE, peanut, sesame, walnut

olives, e.g., black

ONIONS, e.g., red, yellow

orange

oregano

parsley, e.g., Italian

PASTA, e.g., fettuccine, linguini, penne, spaghetti

pepper, e.g., black

pestos

pine nuts

pizzas

potatoes, e.g., baked potatoes, red

pumpkin seeds

rice, e.g., brown

rosemary

sage

SALADS, e.g., green, pasta, tomato, vegetable

salsify

salt, esp. sea

sauces, e.g., hollandaise

savory

scallions

seitan

sesame, e.g., oil, seeds

shallots

slaws

soufflés

SOUPS, e.g., broccoli, creamy

soybeans

soy sauce

spinach

sprouts, mung bean

squash, e.g., spaghetti

stews

stir-fries

stock, vegetable

tahini

tamari

tarragon

tempura

thyme

tofu

tomatoes

tomatoes, sun-dried

turmeric

vinaigrette

vinegar, e.g., balsamic, rice, tarragon

walnuts

watercress

wheat berries

wine, dry white

yogurt",Volume: moderate,Tip: Make a salad from leftover stems of broccoli florets.,,Nutritional profile: 73% carbs / 17% protein / 10% fat,Calories: 55 per 1-cup serving (boiled),Season: autumn–winter,"Botanical relatives: Brussels sprouts, cabbage, cauliflower, collard greens, horseradish, kale, kohlrabi, land cress, radishes, rutabagas, turnips, watercress",Protein: 4 grams,,
"BROCCOLI, CHINESE (aka CHINESE KALE or GAI LAN)",,Flavor Affinities,"Techniques: blanch, sauté, steam, stir-fry",,"beets

carrots

chives

citrus

five-spice powder

GARLIC

GINGER

grains

leeks

lemon, e.g., juice, zest

mirin

miso

mushrooms, e.g., shiitake

mustard

oil, e.g., chili, grapeseed, olive, peanut, or sesame

olives

pasta

peanuts

raisins

sauces, e.g., black bean, hoisin

scallions

soy sauce

squash, winter

stir-fries

sugar

tofu

tomatoes

vinegar, e.g., balsamic or rice

wine, e.g., rice",Volume: quiet–moderate,Tip: Opt for Chinese broccoli when you need a quick-cooking green.,,Nutritional profile: 60% carbs / 27% fat / 13% protein,Calories: 20 per 1-cup serving (cooked),,,Protein: 1 gram,,
BROCCOLI RABE (aka BROCCOLI RAAB or RAPINI),,Flavor Affinities,"Techniques: boil, braise, fry, parboil, roast, sauté, simmer, steam, stir-fry","Dishes


Grilled Broccoli Rabe with Spicy Tomato Sauce and Sour Cream

—ABC Kitchen (New York City)



Charred Broccoli Rabe with Peperoncini, Crispy Shallots

—Boulud Sud (New York City)



Spaghetti and Wheatballs, Broccoli Rabe, Black Olives, Basil Marinara

—Café Blossom (New York City)","almonds

barley

basil

beans, e.g., fava, shell, white

bell peppers, e.g., red or yellow, esp. roasted

bread crumbs

bruschetta

capers

carrots

CHEESE, e.g., feta, Fontina, fresh, mozzarella, Parmesan, pecorino, ricotta, ricotta salata, Romano, sheep’s milk, smoked mozzarella, white

chestnuts

chickpeas

chiles, e.g., jalapeño, and CHILI PEPPER FLAKES

Chinese cuisine

chives

cilantro

citrus

cream

currants

eggplant

eggs

*GARLIC

ginger

grains, e.g., barley

hazelnuts

Italian cuisine

lemon

lemon, Meyer

mushrooms

mustard seeds

noodles, rice

OIL, e.g., OLIVE, peanut

olives

onions, e.g., yellow

oregano

paprika, e.g., smoked

PASTA, esp. whole grain, e.g., fettuccine, orecchiette, penne, spaghettini

peanuts

pepper, black

pesto

pine nuts

pizza

polenta

potatoes

raisins

rice, e.g., brown

risotto

salad dressing, e.g., lemon vinaigrette

salads

salt, sea

scallions

shallots

soups, e.g., bean, broccoli rabe

soy sauce

squash, summer

stews

stir-fries

stock, vegetable

tempeh

tofu

tomatoes

turmeric

vinegar, e.g., balsamic, red wine, sherry, white wine

walnuts

wine, dry white",Volume: moderate–loud,,,Nutritional profile: 46% protein / 40% carbs / 14% fat,Calories: 30 per 1-cup serving (cooked),,"Botanical relatives: broccoli, cabbage, turnips and turnip greens",Protein: 3 grams,,
BROCCOLINI,,Flavor Affinities,"Techniques: Cooks quickly: blanch, boil, raw, sauté, steam, stir-fry","Dishes


Grilled Olive Pesto Tofu with Broccolini and Smashed Purple Potatoes

—Plum Bistro (Seattle)



Mushroom Home Fries with Pan-Roasted Broccolini, Mushrooms, and Parsley-Walnut Pesto

—Portobello (Portland, OR)","almonds

basil

bell peppers, e.g., red

bread crumbs

broccoli and broccoli rabe

cheese, e.g., feta, Parmesan

chiles, e.g., dried, and chili paste, chili pepper flakes, and chili sauce

cilantro

eggs, e.g., frittatas

garlic

ginger

lemon, e.g., juice, zest

mushrooms, e.g., porcini

mustard, e.g., Dijon

oil, e.g., olive, porcini, sesame, vegetable

olives

onions, e.g., red

orange, e.g., juice, zest

parsley

pastas, e.g., fettuccine

peanuts and peanut sauce

pepper, e.g., black

potatoes

salads

salt, sea

sesame, e.g., oil, seeds

shallots

soups

soy sauce

stock, e.g., vegetable

tofu

tomatoes

vinegar, e.g., balsamic, cider",Volume: quiet–moderate,,,,Calories: 35 per 1-cup serving,,,,,
"BROWN RICE (see RICE, BROWN)",,,,,,,,,,,,,,,
BROWN RICE SYRUP (aka RICE MALT SYRUP),,"Flavor: sweet, with notes of butterscotch, caramel, malt, and/or rice, and a thick, liquid texture",,,"baked goods, e.g., cakes, cookies, muffins

coffee

cookies, esp. crisp

ice cream

marinades

pancakes

popcorn, e.g., “caramel corn”

salad dressings

waffles",Volume: quiet,"Tip: Half as sweet as regular sugar, it can substitute for honey (e.g., on toast) or maple syrup (e.g., on waffles).",Possible substitute: barley malt syrup,Nutritional profile: 97% carbs / 3% protein,Calories: 75 per tablespoon serving,,,,,
BRUNCH (see BREAKFAST and BRUNCH),,,,,,,,,,,,,,,
BRUSSELS SPROUTS,,Flavor Affinities,"Techniques: blanch, boil, braise, fry, grill, mandoline, pressure-cook (2–3 minutes), puree, roast (20–30 minutes at 350°F), sauté, shred, simmer, steam (7–10 minutes), stir-fry, tempura-fry","Dishes


Seared Brussels Sprouts with Garlic, Italian Chilies, Preserved Lemon, and Toasted Pistachios

—Millennium (San Francisco)","almonds

apples (dried and fresh), apple cider, and apple juice

artichokes, Jerusalem

basil

bay leaf

bell peppers, e.g., red

bread crumbs

butter and brown butter

capers

caraway seeds

carrots

cashews

cauliflower

celery

celery root

CHEESE, e.g., blue, cheddar, feta, goat, Gorgonzola, Gouda, Gruyère, Parmesan, pecorino, provolone, ricotta, Roquefort, Swiss

CHESTNUTS (traditional)

chili pepper flakes

chives

coconut milk

coriander

cranberries, dried

cream and crème fraîche

crudités

cumin

curry powder

dill

eggs, e.g., fried, hard-boiled, omelets, poached

endive, e.g., Belgian

fennel

fennel seeds

GARLIC

ghee

ginger

grains, whole, e.g., buckwheat

grapefruit

grapes

hazelnuts

juniper berries

kale

kasha

LEMON, e.g., juice, zest

lentils, e.g., French

lime

maple syrup

marjoram

mint

mirin

miso

mushrooms, e.g., shiitake

MUSTARD, e.g., Dijon, mustard powder, and mustard seeds

nutmeg

OIL, e.g., canola, hazelnut, mustard, nut, OLIVE, peanut, pumpkin seed, sesame, walnut

onions, e.g., green, red

orange, e.g., juice

oregano

paprika, e.g., smoked

parsley

parnips

pasta, e.g., whole grain

pears

pecans

pepper, e.g., black, white

pine nuts

pistachios

potatoes

raisins

rice, e.g., basmati

rosemary

rutabagas

salads

salt, e.g., kosher, sea, smoked

scallions

sesame seeds

shallots

slaws

soups, e.g., chestnut, vegetable

sour cream

soy sauce

sprouts, e.g., bean, mung bean

squash, e.g., winter

stir-fries

stock, vegetable

sugar

sunflower seeds

tamari

thyme

tofu, e.g., smoked

turnips

vegetables, root

vermouth

vinaigrette

VINEGAR, e.g., apple, balsamic, rice wine, sherry, tarragon, white wine

WALNUTS

water chestnuts

wine, e.g., dry white, rice

yogurt",Volume: quiet (younger)–moderate/loud (older),"Tips: Look for smaller Brussels sprouts. Better served lightly cooked than raw. Cook only until tender. Do not boil them, as they will lose nutritional value—and overcooking heightens their sulphur notes, ruining the flavor.",,Nutritional profile: 71% carbs / 17% protein / 12% fat,Calories: 30 per ½-cup serving (boiled),Season: autumn–winter,"Botanical relatives: broccoli, cabbage, cauliflower, collard greens, horseradish, kale, kohlrabi, land cress, radishes, rutabagas, turnips, watercress",Protein: 2 grams,What they are: green vegetable,
"BUCKWHEAT (aka BUCKWHEAT GROATS; see also KASHA and NOODLES, SOBA)",,Flavor Affinities,"Techniques: bake, boil, pan-roast, roast, simmer (about 10–20 minutes, until tender), stir-fry, toast",,"almonds and almond butter

apples, e.g., cider, fruit, juice

arame

asparagus

bananas

basil

bay leaf

beans, e.g., black

bell peppers, e.g., red

berries, e.g., blueberries

Brazil nuts

butter

cabbage

cardamom

carrots

cashews

casseroles

celery

cereals, hot breakfast

chard, Swiss

cheese, e.g., feta, Fontina, goat, Gruyère, Parmesan

chickpeas

chives

cinnamon

corn

crepes

dates

Eastern European cuisine

eggs or egg whites, e.g., fried, poached, roasted

flax seeds

(Northern) French cuisine

fruit, dried

garlic

ginger

grains, other milder, e.g., cracked wheat, millet, rice

herbs

honey

ice cream

KASHA

kohlrabi

leeks

lemon, e.g., juice, zest

maple syrup

“meat loaf,” made with grains, nuts, and/or vegetables

MUSHROOMS, e.g., wild

noodles, e.g., soba

oil, olive

ONIONS, e.g., caramelized

PANCAKES

parsley

PASTAS, e.g., FARFALLE

pears

pepper, black

pilafs

pine nuts

“polentas”

porridges

potatoes

quinces

Russian cuisine

sage

salads

salt, sea

scallions

sesame, e.g., oil, sauce, seeds

soups, e.g., black bean, potato

sour cream

soy sauce

spinach

squash

stock, e.g., mushroom, vegetable

stuffed vegetables, e.g., cabbage, mushrooms, winter squash

stuffings

thyme

tofu

tomatoes

vanilla

vegetables, e.g., root

veggie burgers

walnuts

yogurt",Volume: quiet–moderate,Tips: Toast until crunchy (to bring out flavor). Sprinkle on salads or vegetable dishes. Roasted buckwheat groats are sold as kasha (see also KASHA).,,Nutritional profile: 82% carbs / 12% protein / 6% fat,Calories: 155 per 1-cup serving (cooked),,"Botanical relatives: rhubarb, sorrel (not wheat)",Protein: 6 grams,,
"BULGUR, WHOLE WHEAT (see also WHEAT, CRACKED and WHEAT BERRIES)",[BUHL-guhr],Flavor Affinities,"Techniques: boil (10–20 minutes), simmer (15–20 minutes), steam","Dishes


Vegan Taco Salad: Bulgur Wheat seasoned with Chili Powder and Cumin, served with Tortilla Chips and (Soy Milk-based Vegan) Sour Cream

—Soul Gourmet Vegan (Chicago)","almonds

apples and apple juice

apricots, e.g., dried

arugula

beans, e.g., cannellini, fava bell peppers, e.g., green

broccoli

butter

buttermilk

cabbage, e.g., red

carrots

casseroles

cauliflower

cereals, hot breakfast

celery

chard

cheese, e.g., feta, goat

CHICKPEAS

chiles, e.g., ancho, and chili powder

chili, vegetarian

cilantro

cinnamon

citrus, e.g., zest

coriander

corn

cranberries, dried

cucumbers

cumin

currants

dill

eggplant

falafel

figs

fruit, dried

garlic

grape leaves

grapes

greens, e.g., collard

herbs, fresh

honey

kibbeh, vegetarian (use fine grain)

leeks

LEMON, e.g., juice, zest

lentils, e.g., green, red

lettuce, e.g., Bibb, romaine

lime

“meatballs” and “meat sauce”

Mediterrean cuisines

Middle Eastern cuisines

MINT

mushrooms, e.g., cremini

mustard

nuts

oil, e.g., olive, sesame, walnut

olives

ONIONS, e.g., green, red, sweet, white

orange

PARSLEY

peas

pepper, black or white

PILAFS (use large grain)

pine nuts

pistachios

plums

pomegranates

puddings

pumpkin

radishes

raisins

rice

“risottos”

SALADS, e.g., grain, tomato, vegetable

salsa, e.g., tomato

salt, e.g., sea

sauces

scallions

seeds, e.g., sesame, sunflower

sesame, e.g., oil, seeds

shallots

soups

spinach

squash, e.g., spaghetti, summer, winter, yellow

stews

stock, vegetable

stuffed vegetables, e.g., bell peppers, cabbage, grape leaves, tomatoes

stuffings

TABBOULEH (use fine grain)

tamari

tangerines

tarragon

thyme

tofu

TOMATOES and tomato paste

tomatoes, sun-dried

vinegar, e.g., balsamic

walnuts

yogurt

za’atar

zucchini",Volume: quiet–moderate,,,Nutritional profile: 85% carbs / 13% protein / 2% fat,Calories: 150 per 1-cup serving (cooked),"Tips: Different grinds are better for different uses—fine grinds make better tabboulehs, while coarse grinds make better pilafs. Enhance its nutty flavor by sautéing before steaming. Seasoned, it can substitute for ground meat in vegetarian chili, tacos, etc.",,Protein: 6 grams,,
BURDOCK (aka BURDOCK ROOT or GOBO ROOT),,Flavor Affinities,"Techniques: sauté, shred, simmer, stir-fry","Dishes


Gobo Loco Hand Roll: Gobo, Daikon, Seaweed Salad, Avocado, Pickled Jalapeño, Six Grain Rice, with Carrot Ginger Sauce

—Beyond Sushi (New York City)","apples, e.g., cider, juice

arame

artichokes, Jerusalem

barley

brown rice syrup

cabbage, e.g., savoy

CARROTS

celery

celery leaves

chiles, e.g., jalapeño, Thai; and chili pepper flakes

dashi

dates

fennel seeds

garlic

GINGER

grains, e.g., millet

greens, e.g., dandelion

hiziki

JAPANESE CUISINE

kale

kinpira

leeks

lemon, e.g., juice, zest

lime

lotus root

macrobiotic cuisine

marinades

mirin

miso

mushrooms, e.g., shiitake

mustard

noodles, Asian, e.g., shirataki

nuts

oil, e.g., canola, corn, safflower, sesame, sunflower, vegetable

ONIONS, e.g., yellow

parsnips

potatoes

rice, e.g., basmati, brown, wild

sake

salads

salsify

scallions

SESAME, e.g., OIL, SEEDS

soups

SOY SAUCE

spinach

squash, winter

stews

stir-fries

stock, e.g., mushroom, vegetable

sugar

tahini

tamari

tarragon

tempura and kinpira

teriyaki sauce

tofu

tomatoes

vinegar, e.g., umeboshi

walnuts

watercress",Volume: moderate,"Tips: Do not use raw. Doesn’t need to be peeled, but scrub well.",,Nutritional profile: 92% carbs / 7% protein / 1% fat,Calories: 110 per 1-cup serving (boiled),,Botanical relatives: artichokes,Protein: 3 grams,,
BURMESE CUISINE,,Flavor Affinities,,,"beans, e.g., long

chiles, e.g., dried, red; and chili paste

cilantro

coconut

curries

eggplant

flour, chickpea

garlic

ginger

greens, e.g., Asian

lemongrass

lime

noodles, Asian, e.g., rice noodles

oil, e.g., peanut

peanuts

rice

scallions

shallots

soy sauce

sprouts, bean

sweet potatoes

tofu

turmeric",,,,,,,,,,
,,,,,,,,,,,,,,,
"BUTTER, CLARIFIED (see also GHEE)",,,,,,,"Tip: Can be used for higher-temperature cooking, as solids have been removed.",,,,,,,,
"BUTTER, PEANUT (see PEANUTS and PEANUT BUTTER)",,,,,,,,,,,,,,,
"BUTTERMILK, LOW-FAT",,"Flavor: sour, with a thick, creamy texture",,"Dishes


Southern Style Hushpuppies, Mesclun, Honey Butter, and Buttermilk Dressing

—Verjus (Paris)





Ranch dressing = BUTTERMILK-based salad dressing often blended with some of the following:

basil + bell peppers + black pepper + cayenne + chili pepper sauce + chives + cilantro + dill + GARLIC + HERBS + lemon juice + mayonnaise + mustard + olive oil + onions + oregano + paprika + parsley + salt + scallions + shallots + sour cream + sugar + tarragon + thyme + vinegar + Worcestershire sauce + yogurt","avocados

bananas

baked goods, e.g., biscuits, corn breads, muffins, scones, shortcakes

barley, e.g., pearl

basil

beets

berries, e.g., blackberries, blueberries, raspberries, strawberries

biscuits

broccoli

bulgur

cayenne

cherries

chickpeas

chives

chocolate

cilantro

cinnamon

citrus

corn

corn bread

cucumbers

cumin

dates

dill

garlic, e.g., roasted

ginger

HERBS, fresh, e.g., basil, chives, cilantro, dill, parsley

honey

horseradish

lemon, e.g., juice

lime, e.g., juice

maple syrup

mayonnaise

mint

molasses

mustard, e.g., Dijon, powder, seeds

nectarines

nutmeg

oatmeal and oats

onions

orange

pancakes and waffles

parsley

peaches

pepper, black

plums

potatoes

raisins

raitas

rhubarb

SALAD DRESSINGS, esp. creamy, herb, ranch

sauces, e.g., pasta

scallions

slaws

smoothies

sorbets

soups, e.g., buttermilk, butternut squash, cucumber, grain

squash, butternut

sugar, e.g., brown

vanilla

vegetables, green

vinegar, e.g., cider, sherry, white

wine

walnuts

wheat berries

Worcestershire sauce, vegetarian

yogurt",Volume: moderate–loud,,,Nutritional profile: 46% carbs / 35% protein / 19% fat,Calories: 100 per 1-cup serving,,,Protein: 8 grams,,
"CABBAGE, IN GENERAL, or MIXED CABBAGES",,Flavor Affinities,"Techniques: bake, boil, braise, grate, pickle, pressure-cook (3–4 minutes), raw, sauté, shred, simmer, steam (6–8 minutes), stir-fry (2–4 minutes), stuff, tempura-fry (Better cooked than raw, but overcooking brings out its pungent, sulphuric notes.)",,"APPLES, APPLE JUICE, and APPLE CIDER

bell peppers

butter and brown butter

CARAWAY SEEDS

CARROTS

celery

cheese, e.g., blue, cheddar, feta, Parmesan

cilantro

cole slaw

cream

dill

garlic

ginger

horseradish

juniper berries

leeks

lemon, e.g., juice, zest

lime, e.g., juice

mushrooms

mustard, e.g., Dijon, dry, prepared; mustard seeds

nutmeg

OIL, e.g., flax seed, hemp, mustard, nut, OLIVE, safflower, sesame, vegetable, walnut

onions, e.g., green, red, white

parsley

pepper, e.g., black, white

POTATOES

rice

salads

salt, e.g., kosher, sea, smoked

seeds, e.g., hemp, poppy, sesame, sunflower

sesame, e.g., oil, seeds

SLAWS

soups

soy sauce

stuffed cabbage

turnips

VINEGAR, e.g., apple cider, champagne, rice wine, sherry, wine",Volume: quiet–moderate,Tip: Red cabbage’s firmer texture makes it a bit slower to cook than green cabbage.,,Nutritional profile: 85% carbs / 12% protein / 3% fat,"Calories: 25 per 1-cup serving (raw, chopped)",Season: autumn–winter,"Botanical relatives: broccoli, Brussels sprouts, cauliflower, collard greens, horseradish, kale, kohlrabi, land cress, radishes, rutabagas, turnips, watercress",Protein: 1 gram,,
"CABBAGE, CHINESE (aka NAPA CABBAGE; see also BOK CHOY)",,Flavor Affinities,"Techniques: bake, blanch, boil, braise, grill, marinate, pickle, raw, sauté, shred, simmer, steam, stir-fry (4–5 minutes), stuff",,"almonds

arame

arugula

Asian cuisines

bamboo shoots

basil and Thai basil

beans, black, and black bean sauce

beans, green

beets

bell peppers

brown rice syrup

butter

cabbage, other, e.g., green, savoy

CARROTS

cayenne

chicory

chiles, e.g., dried red, jalapeño; chili pepper flakes, chili pepper paste, and chili powder

Chinese cuisine

cilantro

cloves

cornstarch

cucumbers

cumin

dill

fennel seeds

garlic

GINGER

greens, louder

hiziki

honey

kimchi

lemon

lettuce, e.g., mizuna

lime

lotus root

mint

mirin

miso

MUSHROOMS, e.g., black, shiitake, wild

mustard seeds

noodles, Asian, e.g., mung bean, udon

oil, e.g., chili, coconut, olive, peanut, safflower, sesame, vegetable

onions, e.g., green

parsley

peanuts and peanut butter

pears

peas

pepper, black

pickles

pine nuts

radicchio

radishes

raisins

rice, e.g., brown

SALADS, e.g., Asian, cabbage

salt, e.g., sea

scallions

seeds, e.g., sesame, sunflower

seitan

sesame, e.g., oil, sauce, seeds

slaws, e.g., Asian

snow peas

soups, e.g., Asian, cabbage, vegetable

soy sauce

spring rolls

stews

stir-fries

stock, e.g., vegetable

stuffed cabbage

sugar

sugar snap peas

tamari

tofu

turmeric

vegetables, Asian

vinegar, e.g., apple cider, balsamic, black, brown rice, rice wine

walnuts

watercress

wine, rice",Volume: quiet (combines well with louder greens),"Tips: Napa cabbage is one of the most popular types of Chinese cabbage. Do not overcook, or its flavor will be lost.",,Nutritional profile: 57% carbs / 32% protein / 11% fat,"Calories: 20 per 1-cup serving (shredded, cooked)",,,Protein: 3 grams,,
